"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PATHMBFS","journalArticle","2024","Ragupathi, Aparna; Kim, Christian; Jacinto, Estela","The mTORC2 signaling network: targets and cross-talks","Biochemical Journal","","0264-6021","10.1042/BCJ20220325","https://pmc.ncbi.nlm.nih.gov/articles/PMC10903481/","The mechanistic target of rapamycin, mTOR, controls cell metabolism in response to growth signals and stress stimuli. The cellular functions of mTOR are mediated by two distinct protein complexes, mTOR complex 1 (mTORC1) and mTORC2. Rapamycin and its analogs are currently used in the clinic to treat a variety of diseases and have been instrumental in delineating the functions of its direct target, mTORC1. Despite the lack of a specific mTORC2 inhibitor, genetic studies that disrupt mTORC2 expression unravel the functions of this more elusive mTOR complex. Like mTORC1 which responds to growth signals, mTORC2 is also activated by anabolic signals but is additionally triggered by stress. mTORC2 mediates signals from growth factor receptors and G-protein coupled receptors. How stress conditions such as nutrient limitation modulate mTORC2 activation to allow metabolic reprogramming and ensure cell survival remains poorly understood. A variety of downstream effectors of mTORC2 have been identified but the most well-characterized mTORC2 substrates include Akt, PKC, and SGK, which are members of the AGC protein kinase family. Here, we review how mTORC2 is regulated by cellular stimuli including how compartmentalization and modulation of complex components affect mTORC2 signaling. We elaborate on how phosphorylation of its substrates, particularly the AGC kinases, mediates its diverse functions in growth, proliferation, survival, and differentiation. We discuss other signaling and metabolic components that cross-talk with mTORC2 and the cellular output of these signals. Lastly, we consider how to more effectively target the mTORC2 pathway to treat diseases that have deregulated mTOR signaling.","2024-01-25","2025-10-09 20:20:05","2025-10-09 20:20:05","2025-10-09 20:20:05","45-91","","2","481","","Biochem J","The mTORC2 signaling network","","","","","","","","","","","","PubMed Central","","","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC10903481/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VM2BFYPQ","journalArticle","2021","Szwed, Angelia; Kim, Eugene; Jacinto, Estela","Regulation and metabolic functions of mTORC1 and mTORC2","Physiological Reviews","","0031-9333","10.1152/physrev.00026.2020","https://journals.physiology.org/doi/full/10.1152/physrev.00026.2020","Download figureDownload PowerPoint","2021-07","2025-10-09 20:20:09","2025-10-09 20:20:09","2025-10-09 20:20:09","1371-1426","","3","101","","","","","","","","American Physiological Society","","","","","","","journals.physiology.org (Atypon)","","","","C:\Users\qq121\Zotero\storage\RDE9HI5V\Szwed et al. - 2021 - Regulation and metabolic functions of mTORC1 and mTORC2.pdf","","","cancer metabolism; glycolysis; lipid metabolism; metabolic reprogramming; mTOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A29VMXK4","journalArticle","2025","Roark, Kelley M.; Iffland, Philip H.","Rapamycin for longevity: the pros, the cons, and future perspectives","Frontiers in Aging","","2673-6217","10.3389/fragi.2025.1628187","https://pmc.ncbi.nlm.nih.gov/articles/PMC12226543/","Rapamycin, an antibiotic discovered in the 1970s from Streptomyces hygroscopicus on Easter Island (Rapanui), has become a critical tool in biomedical research. Initially recognized for its potent antifungal and immunosuppressive properties, rapamycin has recently gained significant attention for anti-aging therapy and seizure treatment via mTOR pathway inhibition. The mechanistic target of the rapamycin (mTOR) pathway is an evolutionarily conserved metabolic signaling cascade that regulates cell division, growth, and survival. There is growing evidence that mTOR pathway activity accelerates aging and the development of age-related diseases including cancer, atherosclerosis, diabetes, and declining immune function. Therefore physicians and “biohackers” are using mTOR inhibition via rapamycin (and rapamycin analogs) off-label for prevention of age-related conditions despite not being widely recognized as a treatment by the broader clinical community. Currently, rapamycin (i.e., sirolimus and everolimus) is FDA approved for the prevention of transplant organ rejection and for anti-seizure therapy in Tuberous Sclerosis Complex (TSC; caused by variants in TSC1 or 2). We aim to summarize the mTOR pathway, the impact rapamycin has on the mTOR pathway, and the state of rapamycin use in the field of aging and longevity. Importantly, we will discuss the gaps in knowledge, pitfalls, and potential for the use of rapamycin to prevent aging/age-related disease and discuss the lessons learned from achieving FDA approval of evirolimus for TSC-related seizures after many years of off-label use.","2025-06-20","2025-10-09 20:21:32","2025-10-09 20:21:32","2025-10-09 20:21:32","1628187","","","6","","Front Aging","Rapamycin for longevity","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\KJ8RJARV\Roark and Iffland - 2025 - Rapamycin for longevity the pros, the cons, and future perspectives.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC12226543/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKD54R9M","journalArticle","2023","Mihaylova, Maria M.; Chaix, Amandine; Delibegovic, Mirela; Ramsey, Jon J.; Bass, Joseph; Melkani, Girish; Singh, Rajat; Chen, Zheng; Ja, William W.; Shirasu-Hiza, Michele; Latimer, Mary N.; Mattison, Julie A.; Thalacker-Mercer, Anna E.; Dixit, Vishwa Deep; Panda, Satchidananda; Lamming, Dudley W.","When a calorie is not just a calorie: diet quality and timing as mediators of metabolism and healthy aging","Cell metabolism","","1550-4131","10.1016/j.cmet.2023.06.008","https://pmc.ncbi.nlm.nih.gov/articles/PMC10528391/","An epidemic of obesity has affected large portions of the world, increasing the risk of developing many different age-associated diseases, including cancer, cardiovascular disease, and diabetes. In contrast with the prevailing notion that “a calorie is just a calorie,” there are clear differences, within and between individuals, in the metabolic response to different macronutrient sources. Recent findings challenge this oversimplification; calories from different macronutrient sources or consumed at different times of day have metabolic effects beyond their value as fuel. Here, we summarize discussions conducted at a recent NIH workshop which brought together experts in calorie restriction, macronutrient composition, and time-restricted feeding to discuss how dietary composition and feeding schedule impact whole-body metabolism, longevity and healthspan. These discussions may provide insights into the long-sought molecular mechanisms engaged by calorie restriction to extend lifespan, lead to novel therapies, and potentially inform the development of a personalized food-as-medicine approach to healthy aging., Mihaylova et al. summarize discussions at a recent NIH workshop focused on the regulation of healthy aging by dietary composition and feeding schedule, and defined questions and challenges that must be addressed to translate these research findings to the clinic.","2023-07-11","2025-10-09 20:21:43","2025-10-09 20:21:43","2025-10-09 20:21:43","1114-1131","","7","35","","Cell Metab","When a calorie is not just a calorie","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\ZAAP7E2P\Mihaylova et al. - 2023 - When a calorie is not just a calorie diet quality and timing as mediators of metabolism and healthy.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC10528391/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2IKTRNQ","journalArticle","2015","Fan, Xiaolan; Liang, Qing; Lian, Ting; Wu, Qi; Gaur, Uma; Li, Diyan; Yang, Deying; Mao, Xueping; Jin, Zhihua; Li, Ying; Yang, Mingyao","Rapamycin preserves gut homeostasis during Drosophila aging","Oncotarget","","1949-2553","10.18632/oncotarget.5895","https://pmc.ncbi.nlm.nih.gov/articles/PMC4742104/","Gut homeostasis plays an important role in maintaining the overall body health during aging. Rapamycin, a specific inhibitor of mTOR, exerts prolongevity effects in evolutionarily diverse species. However, its impact on the intestinal homeostasis remains poorly understood. Here, we demonstrate that rapamycin can slow down the proliferation rate of intestinal stem cells (ISCs) in the aging guts and induce autophagy in the intestinal epithelium in Drosophila. Rapamycin can also significantly affect the FOXO associated genes in intestine and up-regulate the negative regulators of IMD/Rel pathway, consequently delaying the microbial expansion in the aging guts. Collectively, these findings reveal that rapamycin can delay the intestinal aging by inhibiting mTOR and thus keeping stem cell proliferation in check. These results will further explain the mechanism of healthspan and lifespan extension by rapamycin in Drosophila.","2015-09-29","2025-10-09 20:21:56","2025-10-09 20:21:56","2025-10-09 20:21:56","35274-35283","","34","6","","Oncotarget","","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\NDBJA38Q\Fan et al. - 2015 - Rapamycin preserves gut homeostasis during Drosophila aging.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC4742104/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAYCM5Q2","journalArticle","2023","Li, Yajuan; Chang, Phyllis; Sankaran, Shriya; Jang, Hongje; Nie, Yuhang; Zeng, Audrey; Hussain, Sahran; Wu, Jane Y.; Chen, Xu; Shi, Lingyan","Bioorthogonal Stimulated Raman Scattering Imaging Uncovers Lipid Metabolic Dynamics in Drosophila Brain During Aging","Gen Biotechnology","","2768-1556","10.1089/genbio.2023.0017","https://pmc.ncbi.nlm.nih.gov/articles/PMC10286263/","Studies have shown that brain lipid metabolism is associated with biological aging and influenced by dietary and genetic manipulations; however, the underlying mechanisms are elusive. High-resolution imaging techniques propose a novel and potent approach to understanding lipid metabolic dynamics in situ. Applying deuterium water (D2O) probing with stimulated Raman scattering (DO-SRS) microscopy, we revealed that lipid metabolic activity in Drosophila brain decreased with aging in a sex-dependent manner. Female flies showed an earlier occurrence of lipid turnover decrease than males. Dietary restriction (DR) and downregulation of insulin/IGF-1 signaling (IIS) pathway, two scenarios for lifespan extension, led to significant enhancements of brain lipid turnover in old flies. Combining SRS imaging with deuterated bioorthogonal probes (deuterated glucose and deuterated acetate), we discovered that, under DR treatment and downregulation of IIS pathway, brain metabolism shifted to use acetate as a major carbon source for lipid synthesis. For the first time, our study directly visualizes and quantifies spatiotemporal alterations of lipid turnover in Drosophila brain at the single organelle (lipid droplet) level. Our study not only demonstrates a new approach for studying brain lipid metabolic activity in situ but also illuminates the interconnection of aging, dietary, and genetic manipulations on brain lipid metabolic regulation.","2023-06-01","2025-10-09 20:22:07","2025-10-09 20:22:07","2025-10-09 20:22:07","247-261","","3","2","","GEN Biotechnol","","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\VAR9VIRJ\Li et al. - 2023 - Bioorthogonal Stimulated Raman Scattering Imaging Uncovers Lipid Metabolic Dynamics in Drosophila Br.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC10286263/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9DEPFEX","journalArticle","2017","Hu, Daniel J.-K.; Jasper, Heinrich","Epithelia: Understanding the Cell Biology of Intestinal Barrier Dysfunction","Current biology: CB","","1879-0445","10.1016/j.cub.2017.01.035","","Barrier dysfunction in the intestine is a common characteristic of aging organisms. A recent study provides new insight into the cell biology of this phenomenon.","2017-03-06","2025-10-09 20:22:13","2025-10-09 20:22:13","","R185-R187","","5","27","","Curr Biol","Epithelia","","","","","","","eng","","","","","PubMed","","","","C:\Users\qq121\Zotero\storage\CA9K7GW7\Hu and Jasper - 2017 - Epithelia Understanding the Cell Biology of Intestinal Barrier Dysfunction.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/28267974","","Homeostasis; Humans; Intestinal Diseases; Intestinal Mucosa; Intestines; Stem Cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDSMRNKL","journalArticle","2017","Nguyen, Truc B.; Louie, Sharon M.; Daniele, Joseph R.; Tran, Quan; Dillin, Andrew; Zoncu, Roberto; Nomura, Daniel K.; Olzmann, James A.","DGAT1-dependent lipid droplet biogenesis protects mitochondrial function during starvation-induced autophagy","Developmental cell","","1534-5807","10.1016/j.devcel.2017.06.003","https://pmc.ncbi.nlm.nih.gov/articles/PMC5553613/","Lipid droplets (LDs) provide an “on demand” source of fatty acids (FAs) that can be mobilized in response to fluctuations in nutrient abundance. Surprisingly, the amount of LDs increases during prolonged periods of nutrient deprivation. Why cells store FAs in LDs during an energy crisis is unknown. Our data demonstrate that mTORC1-regulated autophagy is necessary and sufficient for starvation-induced LD biogenesis. The ER-resident diacylglycerol acyltransferase 1 (DGAT1) selectively channels autophagy-liberated FAs into new, clustered LDs that are in close proximity to mitochondria and are lipolytically degraded. However, LDs are not required for FA delivery to mitochondria, but instead function to prevent acylcarnitine accumulation and lipotoxic dysregulation of mitochondria. Our data support a model in which LDs provide a lipid buffering system that sequesters FAs released during the autophagic degradation of membranous organelles, reducing lipotoxicity. These findings reveal an unrecognized aspect of the cellular adaptive response to starvation mediated by LDs.,  , Nguyen et al. demonstrate that lipid droplet biogenesis is a general, protective cellular response during periods of high autophagic flux. Under these conditions, lipid droplets prevent lipotoxicity by sequestering fatty acids released during the autophagic breakdown of organelles. In the absence of lipid droplets, acylcarnitines accumulate and cause mitochondrial uncoupling.","2017-07-10","2026-03-12 03:46:44","2026-03-12 03:46:44","2026-03-12 03:46:44","9-21.e5","","1","42","","Dev Cell","","","","","","","","","","","","","PubMed Central","","","","; C:\Users\qq121\Zotero\storage\LGEVP9H9\Nguyen et al. - 2017 - DGAT1-dependent lipid droplet biogenesis protects mitochondrial function during starvation-induced a.pdf","https://pmc.ncbi.nlm.nih.gov/articles/PMC5553613/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHZ4TDSI","journalArticle","2008","Porstmann, Thomas; Santos, Claudio R.; Griffiths, Beatrice; Cully, Megan; Wu, Mary; Leevers, Sally; Griffiths, John R.; Chung, Yuen-Li; Schulze, Almut","SREBP Activity Is Regulated by mTORC1 and Contributes to Akt-Dependent Cell Growth","Cell Metabolism","","1550-4131","10.1016/j.cmet.2008.07.007","https://pmc.ncbi.nlm.nih.gov/articles/PMC2593919/","Cell growth (accumulation of mass) needs to be coordinated with metabolic processes that are required for the synthesis of macromolecules. The PI3-kinase/Akt signaling pathway induces cell growth via activation of complex 1 of the target of rapamycin (TORC1). Here we show that Akt-dependent lipogenesis requires mTORC1 activity. Furthermore, nuclear accumulation of the mature form of the sterol responsive element binding protein (SREBP1) and expression of SREBP target genes was blocked by the mTORC1 inhibitor rapamycin. We also show that silencing of SREBP blocks Akt-dependent lipogenesis and attenuates the increase in cell size in response to Akt activation in vitro. Silencing of dSREBP in flies caused a reduction in cell and organ size and blocked the induction of cell growth by dPI3K. Our results suggest that the PI3K/Akt/TOR pathway regulates protein and lipid biosynthesis in an orchestrated manner and that both processes are required for cell growth.","2008-09-03","2026-03-30 03:28:05","2026-03-30 03:28:05","2026-03-30 03:28:05","224-236","","3-3","8","","Cell Metab","","","","","","","","","","","","","PubMed Central","","","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC2593919/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE4FQAUK","journalArticle","2023","Hossini, Amir M.; Hou, Xiaoxiao; Exner, Tarik; Fauler, Beatrix; Eberle, Jürgen; Rabien, Anja; Makrantonaki, Evgenia; Zouboulis, Christos C.","Free Fatty Acids Induce Lipid Accumulation, Autophagy, and Apoptosis in Human Sebocytes","Skin Pharmacology and Physiology","","1660-5535","10.1159/000527471","","BACKGROUND: A disruption of sebocyte differentiation and lipogenesis has fatal consequences and can cause a wide spectrum of skin diseases, from acne vulgaris to sebaceous carcinoma, however, the relevant molecular mechanisms have not been fully clarified. OBJECTIVES: The induction of autophagy and apoptosis in human sebocytes in response to biologically relevant fatty acids was investigated. METHODS: Free fatty acids (arachidonic acid, linoleic acid, palmitic acid, and palmitoleic acid) and the pan-caspase inhibitor QVD-Oph were added to the supernatant of cultured human SZ95 sebocytes. Individual relevant proteins were analyzed by Western blotting. Apoptosis and cell viability were determined, and typical autophagy structures were detected through electron microscopy. To obtain cell growth curves, cell confluence was continuously monitored by real-time cell analysis. RESULTS: Fatty acids induced the development of intracellular lipid droplets with subsequent apoptosis, whereas arachidonic acid caused the most rapid effect. Cleavage products of caspase-3 were only detected in arachidonic acid-induced apoptosis. The high basal apoptotic rate of cultured SZ95 sebocytes was strongly suppressed by QVD-Oph. Fatty acid-induced apoptosis was also markedly inhibited by QVD-Oph, whereas intracellular lipid droplets further accumulated. While cell viability after incubation with linoleic acid, palmitic acid, or palmitoleic acid and QVD-Oph was comparable with that of non-treated controls, arachidonic acid significantly reduced cell viability and cell density despite the concomitant pan-caspase inhibitor treatment. Using electron microscopy, typical autophagy structures were detected, such as autophagosomes and autolysosomes, at the basal level, which became more pronounced after treatment with fatty acids. CONCLUSIONS: Our findings contribute to a better understanding of the inflammation-associated mechanisms of lipogenesis and cell death induction in human sebocytes and may help to unveil the effects of fatty acid-rich human nutrition.","2023","2026-04-24 04:14:10","2026-04-24 04:14:10","","1-15","","1","36","","Skin Pharmacol Physiol","","","","","","","","eng","","","","","PubMed","","","","","http://www.ncbi.nlm.nih.gov/pubmed/36384913","","Humans; Apoptosis; Arachidonic acid; Arachidonic Acids; Autophagy; Caspase; Caspases; Fatty acids; Fatty Acids, Nonesterified; Lipophagy; Palmitic Acid; Sebaceous Glands; Sebocytes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJS3RAUW","journalArticle","2015","Rambold, Angelika S.; Cohen, Sarah; Lippincott-Schwartz, Jennifer","Fatty acid trafficking in starved cells: regulation by lipid droplet lipolysis, autophagy and mitochondrial fusion dynamics","Developmental cell","","1534-5807","10.1016/j.devcel.2015.01.029","https://pmc.ncbi.nlm.nih.gov/articles/PMC4375018/","Fatty acids (FAs) provide cellular energy under starvation, yet how they mobilize and move into mitochondria in starved cells, driving oxidative respiration, is unclear. Here, we clarify this process by visualizing FA trafficking with a fluorescent FA probe. The labeled FA accumulated in lipid droplets (LDs) in well-fed cells, but moved from LDs into mitochondria when cells were starved. Autophagy in starved cells replenished LDs with FAs, increasing LD number over time. Cytoplasmic lipases removed FAs from LDs, enabling their transfer into mitochondria. This required mitochondria to be highly fused and localized near LDs. When mitochondrial fusion was prevented in starved cells, FAs neither homogeneously distributed within mitochondria nor became efficiently metabolized. Instead, FAs re-associated with LDs and fluxed into neighboring cells. FAs thus engage in complex trafficking itineraries regulated by cytoplasmic lipases, autophagy and mitochondrial fusion dynamics, ensuring maximum oxidative metabolism and avoidance of FA toxicity in starved cells.","2015-03-23","2026-04-24 04:14:38","2026-04-24 04:14:38","2026-04-24 04:14:38","678-692","","6","32","","Dev Cell","Fatty acid trafficking in starved cells","","","","","","","","","","","","PubMed Central","","","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC4375018/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV962CRW","journalArticle","2022","Zhang, Sheng; Peng, Xueqiang; Yang, Shuo; Li, Xinyu; Huang, Mingyao; Wei, Shibo; Liu, Jiaxing; He, Guangpeng; Zheng, Hongyu; Yang, Liang; Li, Hangyu; Fan, Qing","The regulation, function, and role of lipophagy, a form of selective autophagy, in metabolic disorders","Cell Death & Disease","","2041-4889","10.1038/s41419-022-04593-3","https://www.nature.com/articles/s41419-022-04593-3","Autophagy is a conserved method of quality control in which cytoplasmic contents are degraded via lysosomes. Lipophagy, a form of selective autophagy and a novel type of lipid metabolism, has recently received much attention. Lipophagy is defined as the autophagic degradation of intracellular lipid droplets (LDs). Although much remains unknown, lipophagy appears to play a significant role in many organisms, cell types, metabolic states, and diseases. It participates in the regulation of intracellular lipid storage, intracellular free lipid levels (e.g., fatty acids), and energy balance. However, it remains unclear how intracellular lipids regulate autophagy. Impaired lipophagy can cause cells to become sensitive to death stimuli and may be responsible for the onset of a variety of diseases, including nonalcoholic fatty liver disease and metabolic syndrome. Like autophagy, the role of lipophagy in cancer is poorly understood, although analysis of specific autophagy receptors has helped to expand the diversity of chemotherapeutic targets. These studies have stimulated increasing interest in the role of lipophagy in the pathogenesis and treatment of cancer and other human diseases.","2022-02-08","2026-04-24 04:15:08","2026-04-24 04:15:08","2026-04-24 04:15:08","132","","2","13","","Cell Death Dis","","","","","","Nature Publishing Group","","en","2022 The Author(s)","","","","www.nature.com","","","","C:\Users\qq121\Zotero\storage\GCKWZAA6\Zhang et al. - 2022 - The regulation, function, and role of lipophagy, a form of selective autophagy, in metabolic disorde.pdf","","","Autophagy; Mechanisms of disease","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
